OBJECTID,DATETIME_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Lat,Lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,x,y
124,38:51.2,280,1104470000000.000000000000000,State Rte 121,S,S1200,38.232505840000002,-122.460122200000001,85,85,75,75,0.939999998000000,FALSE,547252.229799999855459,4231748.324300000444055
125,38:51.6,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.337309529999999,-122.979301199999995,83,83,80,80,0.500000000000000,FALSE,501807.087600000202656,4243238.795399999246001
126,38:52.0,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.340156669999999,-123.046495300000004,46,46,154,154,0.500000000000000,FALSE,495934.413300000131130,4243551.145500000566244
127,38:52.4,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.408733310000002,-123.096509699999999,58,58,125,125,0.500000000000000,FALSE,491573.943400000222027,4251187.037200000137091
128,38:52.8,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.457914660000000,-123.141214800000000,63,63,96,96,0.500000000000000,FALSE,487686.889200000092387,4256630.360200000926852
129,38:53.2,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.495551679999998,-123.200673699999996,46,46,159,159,0.500000000000000,FALSE,482498.547799999825656,4260811.886099999770522
130,38:53.6,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.529739139999997,-123.266623800000005,63,63,114,114,0.500000000000000,FALSE,476761.279600000008941,4264625.898800000548363
131,38:54.0,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.576240599999998,-123.334278499999996,60,60,124,124,0.500000000000000,FALSE,470880.229399999603629,4269812.698200000450015
132,38:54.3,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.636853979999998,-123.388480000000001,86,86,66,66,0.500000000000000,FALSE,466187.594600000418723,4276556.572799999266863
133,38:54.7,284,1104470000000.000000000000000,State Rte 1,S,S1200,38.704470749999999,-123.442856300000003,75,75,82,82,0.500000000000000,FALSE,461496.084699999541044,4284082.249800000339746
134,38:55.1,288,1104480000000.000000000000000,State Rte 12,S,S1200,38.428103700000001,-122.767869300000001,97,97,67,67,0.569999993000000,FALSE,520259.033200000412762,4253341.460899999365211
135,38:55.5,299,1104490000000.000000000000000,Nimitz Fwy,M,S1100,37.782666149999997,-122.239359199999996,102,102,65,65,0.959999979000000,FALSE,566976.300499999895692,4181980.152699999511242
136,38:55.9,299,1104490000000.000000000000000,Nimitz Fwy,M,S1100,37.716269920000002,-122.173700600000004,107,107,22,22,0.949999988000000,FALSE,572824.453200000338256,4174661.430800000205636
137,38:56.3,299,1104490000000.000000000000000,Nimitz Fwy,M,S1100,37.656396630000003,-122.101329600000000,107,107,34,34,0.949999988000000,FALSE,579268.128700000233948,4168083.795399999246001
138,38:56.7,299,1104490000000.000000000000000,Nimitz Fwy,M,S1100,37.577923530000000,-122.047886300000002,111,111,23,23,0.949999988000000,FALSE,584067.429899999871850,4159408.231899999082088
139,38:57.1,299,1104490000000.000000000000000,Nimitz Fwy,M,S1100,37.516437889999999,-121.978485800000001,107,107,54,54,0.949999988000000,FALSE,590269.315299999900162,4152660.232999999076128
140,38:57.5,324,1102640000000.000000000000000,Eastshore Fwy,M,S1100,37.995040889999999,-122.290923699999993,109,109,58,58,0.959999979000000,FALSE,562261.002700000070035,4205510.991399999707937
141,38:57.9,354,1104470000000.000000000000000,State Rte 84,S,S1200,37.312620150000001,-122.313985500000001,83,83,85,85,0.500000000000000,FALSE,560794.478199999779463,4129781.428999999538064
142,38:58.3,354,1104470000000.000000000000000,State Rte 84,S,S1200,37.346275700000000,-122.267527999999999,72,72,96,96,0.500000000000000,FALSE,564875.983199999667704,4133543.291099999099970
143,38:58.7,354,1104470000000.000000000000000,State Rte 84,S,S1200,37.398273650000000,-122.256008699999995,47,47,105,105,0.500000000000000,FALSE,565852.252199999988079,4139320.516799999400973
144,38:59.1,360,1104470000000.000000000000000,Bayfront Expy,M,S1200,37.485868549999999,-122.143393000000003,57,57,47,47,0.970000029000000,FALSE,575736.651899999938905,4149122.283099999651313
145,38:59.5,366,1104470000000.000000000000000,State Rte 82,S,S1200,37.659870280000000,-122.441645699999995,29,54,76,41,0.610000014000000,FALSE,549251.538399999961257,4168229.837899999693036
